authors,title,patent_number,status,date
吳孟宗、林俊良,單極式交直流一體無刷發電機,096125671,2007-01
林俊良,許其峰,可規劃自行車不同難易度路徑之導航方法,中華民國I428565,2014-03
林俊良、吳孟宗、葉英杰,用於固定建築物與可移動車輛間之可雙向無線感應充電系統,(申請中),申請中,2013-01
林俊良、林靖傑、江正塘,具心電圖補助與血氧脈搏量測之心血管硬化辨識系統,102219973,新型專利,2013-01
林俊良、吳孟宗、葉英杰,停車場車輛電力回充集合式住宅公共用電系統之裝置,102128883,發明專利,2013-01
林俊良、陳泱億、江正塘,具有心電圖輔助之指紋辨識器,M453912,新型專利,2013-01
林俊良、陳鏡崑、江正塘,以指紋與心電訊號為基礎之個人資料加解密系統,102121398,發明專利,2013-01
林俊良、許舜斌、吳鎮亞,串並聯電池之平衡電量之方法,I403073,發明專利,2013-01
林俊良、黃啟東,電動機車之可產生類似防鎖死剎車作用的煞車控制器,I384733,發明專利,2013-01
林俊良、林翁慶,可調節ABS電子剎車制動力之系統,101131596,發明專利,2012-01
林俊良、彭釉喆,組合電池之靜態電量平衡法,101131420,發明專利,2012-01
林俊良、林翁慶,可產生類似防鎖死剎車作用的雙輪驅動電動機車之剎車控制系統,I370078,發明專利,2012-01
林俊良、黃啟東、黃金龍,電動腳踏車電能回充與踩踏力輔助控制器,I371899,發明專利,2012-01
林俊良、黃啟東,電動車輛電能回充控制器,I352671,2011-11
林俊良、郭至偉、陳其宇,具操作者體能監測功能之衛星定位導航儀,I346770,2011-08
林俊良、許舜斌、吳鎮亞,可彈性規劃組合式電池充電電流之方法及其裝置,100128290,發明專利,2011-01
邱尚明、林俊良、黃明仕,腦立體定位手術頭架固定輔助器,M414936,新型專利,2011-01
林俊良、郭至偉、陳其宇,具操作者體能監測功能之衛星定位導航裝置,I346770,發明專利,2011-01
林俊良、柯博仁,高速公路車輛最佳巡航速度決策系統,I339819,2011-01
林俊良、許其峰,自行車導航規劃法,099135887,發明專利,2010-01
